source_id,ra_gaia,dec_gaia,gal_l,gal_b,gal_l_astropy,gal_b_astropy,parallax,distance_pc,bp_rp,phot_g_mean_mag,absolute_g_mag,teff,logg,feh,rv,pm_total,tangential_velocity_kms,reduced_pm_g,galcen_x_kpc,galcen_y_kpc,galcen_z_kpc,galcen_vx_kms,galcen_vy_kms,galcen_vz_kms,galcen_vtot_kms,metallicity_group,high_vtan_candidate,metal_poor_candidate,chemo_kinematic_candidate,coord_match_sep_arcsec,m6_metal_poor_flag,m6_very_metal_poor_flag,m6_high_vtan_flag,m6_extreme_vtan_flag,m6_high_galcen_velocity_flag,candidate_score_m6,candidate_level_m6
3084618814470882048,121.20677617930394,1.0369173800748273,220.57809828861255,16.759370911266398,220.57809828861252,16.759370911266387,0.2391748613448044,4181.04141203351,1.1711559,15.83641,2.7299872231075355,4737.68,3.709,-0.951,127.33,8.330489506220488,165.1111465791632,10.439762177023631,-11.159579226063531,-2.6041777937904764,1.234190269912539,-52.362524016427066,72.48775983933973,-88.38433965697892,125.73026980205248,metal_poor,True,True,True,0.0288838640191105,False,False,True,False,False,1,weak
3077610566011025408,124.84914434820188,0.7844510424136527,222.63519672489255,19.843863840418972,222.63519672489255,19.843863840418965,0.1609512010375164,6213.063298402526,1.1750326,13.772771,-0.1937580093862614,4813.31,2.214,-0.543,93.57,3.406002684157785,100.31645268932128,6.433995811051826,-12.415987525633223,-3.958398123152131,2.1408665665261157,-123.87940294516608,251.68800269310924,16.328023244088154,280.9974404096181,metal_poor,True,True,True,0.056866646750104,False,False,False,False,True,1,weak
3083553117121981312,123.11310411709076,0.459705490293688,222.0580986343225,18.164210869309613,222.05809863432248,18.16421086930958,0.075794530810793,13193.56409100696,1.5499325,13.163137,-2.4386732195933583,4252.85,0.992,-1.116,91.38,3.7979591225831575,237.53839609846912,6.060888866496139,-17.41904234046503,-8.397720385012782,4.15757824459602,76.09427054337621,5.180934422038775,-46.8090294176412,89.48891174908542,metal_poor,True,True,True,0.058795166730715,True,False,True,True,False,3,moderate
3083753361380495744,122.45572218802852,0.527457007007076,221.6664240294028,17.61851836027163,221.6664240294028,17.618518360271615,0.5929720268090156,1686.420193177308,1.1461058,12.53101,1.396180705066989,5006.79,2.897,-0.915,125.61,14.298047181401548,114.30465630354097,8.307393303266384,-9.321373146047025,-1.0685309785679078,0.5343122040549942,-65.56619734962321,107.04473951100331,-51.287120906160865,135.60188517388488,metal_poor,True,True,True,0.0641449372800532,False,False,False,False,False,0,weak
3084618646970633984,121.170175117863,1.0046261556532656,220.5898519384251,16.711881517976842,220.58985193842508,16.71188151797685,0.1542206397138047,6484.216391889906,1.1003723,13.638368,-0.4209198457835654,5030.94,2.379,-0.68,98.29,3.444713500684802,105.88440716427388,6.3241331886892596,-12.83323931373844,-4.040693440166879,1.8974544461564344,-131.13390690924584,256.69247386555304,9.683853224708855,288.41099960607966,metal_poor,True,True,True,0.0665544142477171,False,False,False,False,True,1,weak
3084642080312126464,121.3155613883067,1.2930361312627994,220.3953904477809,16.97583009317367,220.3953904477809,16.97583009317367,0.0920394646932119,10864.90456385446,1.5068645,13.146681,-2.0334487474787295,4285.88,0.837,-1.196,79.89,3.840462672415601,197.8020857182221,6.06859857350314,-16.02790080433246,-6.734297928507612,3.213243254549594,54.698172830984056,42.97897652065082,-44.2365210124125,82.43756622494668,metal_poor,True,True,True,0.0820637648271761,True,False,True,False,False,2,moderate
3089611597989508224,124.41014575196904,0.6801603216710814,222.5088478427095,19.408660591754785,222.5088478427095,19.408660591754774,0.2246688672654835,4450.994978393399,1.1408968,13.818636,0.5763504189900424,4927.88,2.657,-0.833,16.42,5.067237159692879,106.91773199721707,7.342492094860496,-11.212873530668393,-2.836642605353944,1.5077940147771236,35.3632482080174,161.6164727996072,-56.58761367278389,174.85022626576227,metal_poor,True,True,True,0.0834990780433018,False,False,False,False,False,0,weak
3089512263986192512,124.07066122778818,0.500878992329893,222.50316128921065,19.024798158446643,222.50316128921065,19.02479815844664,0.4967967606175291,2012.895572742822,0.7241869,15.035399,3.5162932136697265,6048.5,4.142,-1.317,24.51,19.074189447503205,182.00727141982713,11.43762989591594,-9.523218799871495,-1.285688981057482,0.6805451516699846,125.73218793168266,108.8715131738745,55.75511526685377,175.41443025383415,metal_poor,True,True,True,0.0963432478150738,True,False,True,False,False,2,moderate
3084491481578346240,120.47759045444464,0.5234137321220286,220.6920827294881,15.874312128661778,220.6920827294881,15.874312128661789,0.1506745525030554,6636.820772902057,1.3136959,14.1115265,0.001726040787414,4668.82,2.386,-0.534,142.04,6.610182914722421,207.96725977413317,8.212593875759762,-12.95760689521843,-4.162142484724788,1.848533098883572,16.946009895375624,-3.053339907627426,-31.980502422644772,36.321380358825394,metal_poor,True,True,True,0.0993200867778354,False,False,True,False,False,1,weak
3084599680395408128,121.84354929076224,1.1745968561269535,220.7648592618158,17.38579847469238,220.76485926181584,17.385798474692415,0.1983237559324356,5042.2602945291,1.4542809,12.519477,-0.9936494160586236,4301.99,1.43,-0.8,-3.5,9.76456503213851,233.39930902514337,7.467741401417889,-11.762621594743608,-3.141959877371983,1.536767506975605,160.1663166663356,66.76762649491381,-20.840137471621784,174.77264165784445,metal_poor,True,True,True,0.1036218967282061,False,False,True,True,False,2,moderate
