project_iii_population_group,project_iii_population_label,n,feh_median,feh_min,feh_max,ecc_median,zmax_median_kpc,rperi_median_kpc,rap_median_kpc,Lz_median,Lperp_median
retrograde_halo,retrograde_halo_candidate,13,-0.833,-1.369,-0.543,0.7573493952104325,3.945630625688646,2.232678357057207,12.67936044987201,-845.8642454880404,587.1092658147543
radial_halo_or_gse_like,radial_halo_gse_like_candidate,4,-1.4249999999999998,-2.108,-1.107,0.8931895393280387,1.582016432451109,0.9253638249002099,12.834140221349067,310.22817264737046,200.29195234057437
prograde_hot_or_heated_disk,prograde_hot_halo_or_heated_disk_candidate,3,-1.679,-1.723,-1.116,0.8429087523606019,4.008622242376958,1.6316410479847057,19.48116329693087,770.758487729764,385.25501777195143
retrograde_uncertain,retrograde_uncertain_candidate,3,-0.768,-0.915,-0.684,0.5235030774699629,1.90874701111668,2.996770081052203,9.852671649540726,-1067.8632614602427,513.1044361035314
retrograde_halo,retrograde_high_inclination_halo_candidate,2,-1.3980000000000001,-2.213,-0.583,0.7550842163913358,31.460616611648486,5.468764326183503,34.5654853066375,-705.9661115358746,2309.4201083156768
general_halo,radial_halo_candidate,1,-0.534,-0.534,-0.534,0.9477613225411664,5.485656744725901,0.3730475708456246,13.909380277355648,110.09543752887312,407.421144098808
high_inclination_halo,high_inclination_halo_candidate,1,-1.472,-1.472,-1.472,0.6674059814388952,18.98889929051783,7.545047875165505,37.82586954426076,2417.299615178472,1650.511525452589
