source_id,combined_chemo_kinematic_pc1,combined_chemo_kinematic_pc2,feh,bp_rp,absolute_g_mag,tangential_velocity_kms,rv,galcen_vtot_kms,metallicity_group,high_vtan_candidate,metal_poor_candidate,chemo_kinematic_candidate
3089803084812330368,0.8790956275028942,-0.34430761417190875,-0.439,0.73433876,4.321987360304757,1.4306624554201794,22.46,232.7850692739004,solar_like,False,False,False
3090685683412224256,-3.0639602742392866,-1.219308233198447,-0.476,1.1265078,-0.1330903607010292,60.5015834011037,96.55,216.90178437379717,solar_like,False,False,False
3083676090627788288,-1.0155124771577897,-1.8413963056143892,-0.126,1.156867,1.2590746429453006,29.48624814642563,69.04,226.8044583076353,solar_like,False,False,False
3083712438932111488,0.7561852859102268,-0.3045280615576964,0.018,0.6303549,2.852566582444579,14.232481445386824,23.39,224.36449854059697,solar_like,False,False,False
3084883801071606528,-0.7834590967771861,-1.8177463640936424,-0.208,0.6772051,3.643295243294777,14.657079434993593,80.68,214.5399460043024,solar_like,False,False,False
3090881671361507968,2.495290659996517,0.6320760742265764,-0.322,0.6846037,3.217485507611741,11.139482717117149,-25.23,263.8454562997869,solar_like,False,False,False
3084306484448957952,-1.6713050915695118,-1.0908041984089967,0.149,1.3908243,1.0650382464832795,44.248343321659696,66.12,209.18033056952888,solar_like,False,False,False
3090633044293452416,1.8062122663560927,-0.30913627202519306,0.022,0.7738724,3.8042933183130945,2.634173525481258,4.65,241.4969235195682,solar_like,False,False,False
3089766079373965568,-0.36029275214588263,0.06898947628037706,-0.264,0.6303339,2.6618132940181276,40.87204403638056,40.3,226.45353660214852,solar_like,False,False,False
3089728352380261248,0.27473171795307083,-1.2851603839382575,-0.15,0.7696066,3.547433623481677,1.2754605850661975,46.57,219.67048032998767,solar_like,False,False,False
3089726050277808384,2.003743602099221,0.42678867504792084,-0.149,0.79975414,4.764552663429875,15.44055969107822,-6.21,254.10284424577856,solar_like,False,False,False
3084746671355778944,-0.9904241482921845,-0.7627339692735087,0.049,1.2407274,0.525194333599778,33.712306297300934,45.37,213.82808486893632,solar_like,False,False,False
3090122733456939136,0.6169641246174915,-0.7600778956331732,0.06,0.64348507,2.960372689157067,9.88519010925766,33.13,220.82596794472468,solar_like,False,False,False
3090132388543446656,-1.3549845249199741,-0.6418474457512274,-0.474,1.1225119,1.4093607608933354,57.92740394839688,58.56,240.02065722024773,solar_like,False,False,False
3083702891222922240,-0.544213436856436,-1.7759495245995802,-0.438,1.170557,1.1464553793075911,29.485095799770896,52.93,237.18629010497253,solar_like,False,False,False
3089652760956024064,1.1466423956507075,-0.7574799649948515,0.016,0.7630062,3.390619428781278,1.9472946910673508,22.49,230.7392002914605,solar_like,False,False,False
3089751167247800576,2.331283588293447,-0.6342928522790936,0.471,1.07407,5.43486977674816,22.225772805934092,6.67,256.6132019292169,metal_rich,False,False,False
3084800616144708608,-0.6716662292569194,-1.8398399295203656,-0.124,0.6537924,2.451286614807067,64.28657002504735,86.69,256.70476383382794,solar_like,False,False,False
3084814871139125376,1.2811527071502737,-0.30307815306927033,-0.298,0.5634041,2.3796584698561567,2.291740047368966,11.65,240.5544603639713,solar_like,False,False,False
3084436196759506048,-0.02897809953470662,-1.6773678593608068,-0.267,0.66511726,3.499556305281068,30.460288278774826,61.88,233.3421084252176,solar_like,False,False,False
3077629803169057024,-0.6736499617271806,-1.407809682919065,-0.492,1.1487141,0.2443375016199063,2.3886722730051995,44.12,221.31433611373748,solar_like,False,False,False
3084117402809442432,0.9410691246614464,-1.330480756861626,0.226,1.2015276,0.8061879280124948,14.901996404709251,20.97,244.23753184024753,metal_rich,False,False,False
3084481345455513472,0.05286101399179567,-0.6437176797026117,-0.25,1.2157125,0.5440635862657395,15.30793250865634,21.95,234.1290576868475,solar_like,False,False,False
3089740580151347584,1.9636974691846718,0.1624455371309362,-0.232,1.2203255,6.487975572317232,2.8178249919484064,-5.13,249.83548060051496,solar_like,False,False,False
3089569335511463424,0.46256876080815457,-0.33321910088583667,-0.143,0.7998228,3.684977968032861,12.969021283432424,27.51,221.25902763828915,solar_like,False,False,False
3090635135940112000,1.5507660802497543,0.10028638812428399,0.156,1.1250248,2.0227344277771095,15.34996654352799,-10.35,241.9901985737543,solar_like,False,False,False
3083753674916116864,0.650909573154126,-0.9289971023484496,0.152,1.1936483,2.6860485747357217,18.73132780878431,26.86,235.6411844043643,solar_like,False,False,False
3084676714928525312,0.6311779132585517,-0.4350719230314143,-0.257,0.6716604,3.9113697849465687,50.35908630601644,38.69,259.2006424235664,solar_like,False,False,False
3089885960500920064,0.1146850057536965,-1.316565360855753,-0.56,0.71396446,3.5327133502799697,39.275784756477606,52.03,246.55144186973797,metal_poor,False,True,False
3084663245911075200,0.8723899478836852,-0.6607082092339249,-0.095,0.60695267,2.0094366152692693,32.240189894491145,29.15,250.8067346862672,solar_like,False,False,False
3089708526811165696,0.054479412817138764,-0.9845022242350241,-0.322,1.1787615,0.6133758609003905,11.39976628115727,27.28,235.54653266104864,solar_like,False,False,False
3083532157682782080,-0.913793165617918,-1.5685251071776842,-0.352,1.0749531,-0.4714547777319637,14.789568424227658,52.93,223.508253393208,solar_like,False,False,False
3083755049305606272,-0.5458709099423754,1.5269226010210755,0.099,0.8752775,2.961703098303426,64.0215330088182,9.8,195.2694315285579,solar_like,False,False,False
3090706024377236608,-0.12078583777186627,-0.4349588502448296,-0.212,1.1560421,0.4560521001262714,31.19939618660621,25.25,238.66321942372295,solar_like,False,False,False
3084421525151313152,-0.8924564740153932,-0.47337436327019805,-0.877,0.536191,2.293602306805809,19.547696279791907,54.34,223.38407424530163,metal_poor,False,True,False
3089807620297835520,1.191054636251588,-0.4508018036713502,0.134,0.7944641,3.7707151290822374,10.443696447363836,18.76,230.34134612265944,solar_like,False,False,False
3083652588566429952,0.5585784448220595,-1.0916864127416617,-0.012,1.249589,2.1352613421200086,43.28751663595698,31.77,258.91615135926145,solar_like,False,False,False
3083822669270467584,-0.36072955443584626,-1.2043521688741694,0.243,1.3380728,1.7300601349432263,26.89724329871477,44.5,221.10208542421603,metal_rich,False,False,False
3084647028114438144,-0.44471679919736784,-0.3892172239365479,0.004,0.8105259,4.016750660632685,44.89832502276929,54.63,224.3712285478757,solar_like,False,False,False
3083516008604749952,-0.9498911156044463,0.5863113634734715,-0.507,1.1450281,0.0933184103950921,67.76798805841895,27.44,250.15390191458047,metal_poor,False,True,False
3090598959432876288,2.610590343104372,0.13648725557267116,-0.126,0.70304394,3.748188577014151,26.039706548871905,-13.21,274.5275893190309,solar_like,False,False,False
3084538932376794752,-0.7956691781005825,-1.2631143996131724,-0.18,0.67201805,2.550115306235778,48.98601169876407,74.9,237.87480226897483,solar_like,False,False,False
3084521752507660800,-1.2227334599968718,-0.7181968498264335,0.167,1.1938848,3.4009298339259786,44.19529467220484,63.39,206.85556860138405,solar_like,False,False,False
3090668640981986432,1.133592298864885,0.6906413785229037,0.024,1.2945604,6.357325734098524,47.23049111688944,7.63,251.92834600335155,solar_like,False,False,False
3084460076777640832,-1.4855496918074915,-1.3471428856830454,-0.089,1.3289776,1.4918456482954454,58.08276924713357,73.97,237.1027864822007,solar_like,False,False,False
3089897677171622656,0.18846805878090048,-0.7073185032163937,-0.407,1.1231356,1.5929087976697005,13.439612943159617,25.04,237.70767996126125,solar_like,False,False,False
3083758725797624320,0.8994828384533564,-0.23187796985631562,-0.307,0.93179417,5.543937172221758,5.224741595396139,21.22,228.72434451231345,solar_like,False,False,False
3090117884437860096,-1.7570343738715029,-1.735303046767642,-0.204,1.2203827,1.2365830904061994,33.335534786359084,78.32,214.47640061657404,solar_like,False,False,False
3084088987305827328,-0.8782200769578228,-0.8076779057417697,0.074,1.3761215,0.8069333309743243,31.98921988754153,42.7,215.9361059221954,solar_like,False,False,False
3084682659163055616,-1.1814473031059767,-2.9432620480881933,-0.057,0.8858471,4.6169009195307265,24.84670358457845,107.94,216.82479222063077,solar_like,False,False,False
3084464887140937984,-0.8790944017646241,-1.9643080010957394,-0.213,1.3746767,-1.0320836383813194,2.5003552953458605,49.57,218.95391610385624,solar_like,False,False,False
3089679802069952000,0.7584416027842327,0.27628111099724223,-0.152,1.1371231,1.836074795152804,22.818612122142685,-2.91,231.987070453436,solar_like,False,False,False
3083794425565396608,-1.8509733197658682,-0.5894320758446437,-0.546,1.1669455,0.8318274231803819,34.15361970604201,57.99,210.78691339023132,metal_poor,False,True,False
3083731409805429760,-1.8536905840028919,-0.5604955682046138,-0.295,1.3702955,-0.6770460123779358,32.31146454115393,44.9,199.29063868020685,solar_like,False,False,False
3090651972211908608,0.012952382804962964,-0.11618608082103256,-0.128,0.57352924,3.139188817428643,54.455919129252656,44.63,243.83767978218305,solar_like,False,False,False
3089579540353748096,0.1193774492320913,-0.39458038122377637,-0.482,0.85182095,5.176852314344551,65.31006998072944,49.06,264.5970303436716,solar_like,False,False,False
3084867205318180992,0.6844920401581415,-0.06312340258844418,-0.088,0.55121994,2.4431013161255564,20.502606397371306,22.07,230.07047858459515,solar_like,False,False,False
3084924208123707648,-0.047058879247609334,-0.7999142486078809,0.2,0.8060646,4.002776541332304,22.41917415712627,49.21,210.17751281391847,solar_like,False,False,False
3077581050995923968,-0.9249058855917388,-0.690528791919355,-0.255,0.7133169,2.6984329225005936,20.24149768886881,54.82,198.28232296578685,solar_like,False,False,False
3084457980833567360,-2.7278806051607165,-1.0528713726831544,-0.068,1.3354082,-0.3069019193335336,45.1837198047283,76.53,189.76220460099935,solar_like,False,False,False
3084049954643035904,0.6402684755190244,-0.4547383836465743,-0.133,0.6087265,3.65952400374257,16.923029748732844,33.04,230.6015435640409,solar_like,False,False,False
3084453685866211840,-1.5644026409728378,-1.599487446666362,-0.344,0.7010126,3.967370385793842,45.85380779866306,98.62,226.29426781760395,solar_like,False,False,False
3084674481545358464,-1.6342949962913917,-1.454160152179391,-0.258,1.0694752,2.1677646425345714,75.02394069121873,90.59,252.5068946414627,solar_like,False,False,False
3084807213214435456,-0.5428421422584322,-1.8187454070746354,-0.344,1.084857,2.4393868326738968,47.61661927675495,68.32,252.035585306892,solar_like,False,False,False
3084431558194824832,2.067274250104348,0.5656987787235851,-0.207,0.71568584,4.301932592426379,24.891099106077284,-7.75,263.15806560739895,solar_like,False,False,False
3084586177018216704,-1.3882606031114635,-1.231136404363503,-0.613,1.1241817,0.3249949452891272,39.026388625087904,50.82,213.682914982366,metal_poor,False,True,False
3084681971968295296,0.1401430225117475,1.5355009603865075,-0.077,0.67034817,3.5040375573013876,54.37937900014892,1.04,206.65941833386512,solar_like,False,False,False
3084407094061159680,1.3904321838482983,0.672684552455259,-0.402,1.038662,6.051406925070726,30.423809592649565,2.68,256.27245456842206,solar_like,False,False,False
3084923417849996416,2.345831672924896,0.4910019799657259,-0.138,0.5845556,3.601463942229014,4.857192802712742,-15.59,252.7549221887836,solar_like,False,False,False
3090628577527284736,-2.9998063727568005,-2.457461528780992,-0.425,1.6109562,-0.9414122474901988,25.66271696215381,96.33,205.44996839768712,solar_like,False,False,False
3084491614719697152,-2.934537836234911,-2.325625648829414,-0.375,1.5204296,-0.8191898948534195,52.12590475888895,103.52,228.3859082662459,solar_like,False,False,False
3090642699379883648,1.6155463637004785,-0.46266776669218934,-0.023,0.77185726,4.215157202793314,2.2790005386014216,11.94,238.4883049090811,solar_like,False,False,False
3083522326500645120,-0.2133086382300084,-1.1925036933502198,-0.329,1.16994,0.4553015109392753,30.1303256560586,38.27,244.87218012404725,solar_like,False,False,False
3083838642251987584,1.0919857715990535,-0.33109314027245407,-0.29,0.6452589,2.682590807400217,2.403506789953713,14.43,235.38150278578505,solar_like,False,False,False
3084832433262845568,1.3591533920189738,-0.15609068906884832,-0.22,0.6195917,3.2915545915459035,41.639335065613025,17.75,265.1466320082595,solar_like,False,False,False
3084608682646794752,0.605736968233999,-1.865681888273675,0.221,0.98671055,4.1831046630947775,19.681442078937167,52.19,232.01054695142452,metal_rich,False,False,False
3089744531521258368,1.4404956441995702,-0.7244178121596598,0.094,0.7190962,3.092706429032841,4.840505373498687,17.62,237.6394859581842,solar_like,False,False,False
3083766005764200704,-1.0541125635831903,0.5400890295066755,-0.525,0.7441397,2.8401416383672924,35.2254976919047,34.74,198.22605665323564,metal_poor,False,True,False
3083679320444212608,-0.2593348277469172,-1.6063564173650808,0.008,1.3178892,0.8584866586216258,8.231338272653284,42.75,222.76316400089144,solar_like,False,False,False
3083675815749866112,-0.041343194286347695,0.2717166334185472,-0.427,0.5745621,1.8046913820091923,32.48085090941838,27.34,232.0414255131752,solar_like,False,False,False
3089799717558002432,0.7661051330151472,-0.3122137995502012,-0.354,0.62183666,3.809806086623965,6.223847950822242,25.16,230.2967608060709,solar_like,False,False,False
3089541607202684800,1.2836643185170262,-0.3961621666238603,0.017,0.82649326,3.9897553619340265,8.455940809135402,16.1,235.0646762549121,solar_like,False,False,False
3089800026795645696,0.8409735954232164,-0.4609143047916372,-0.436,0.60157585,2.194918363213496,19.258010569117864,19.02,240.22342903963644,solar_like,False,False,False
3083661522098579968,-0.5333811274777999,-1.3700532336136086,-0.102,1.2779589,0.9915555563217068,26.62472280086826,48.32,231.54284767433035,solar_like,False,False,False
3084438086545253376,-1.2657028826146246,-2.412885364533766,-0.088,1.2568521,0.7580949665704644,6.961579435074251,75.23,210.1760596661696,solar_like,False,False,False
3084466021012300032,1.4260026121514588,0.8565882246130635,-0.542,0.65692043,4.004573881661475,26.982011509584705,-2.46,257.7111170512256,metal_poor,False,True,False
3089490479911985792,2.2815079693671834,-0.11646215578803604,0.07,0.7423239,3.5569362242996014,2.815651313896413,-6.14,251.62155837407855,solar_like,False,False,False
3089888846718968192,1.3822620670373256,-1.0084331203132855,0.18,0.9908476,5.497720956322034,2.8762874007371124,26.98,231.85302025682512,solar_like,False,False,False
3089793910762240640,-0.2526374091100068,-0.5107113841549895,-0.148,1.2487593,0.3476622570961893,61.99163580340653,32.98,260.1209523647315,solar_like,False,False,False
3090640947033247744,2.0179177453069608,0.6690908175101922,0.046,0.9371748,5.229289220325782,18.59973464521643,-10.87,247.82411493461095,solar_like,False,False,False
3087921339382549248,0.2303111479034661,-1.6333205291057766,-0.039,0.818408,3.4383282041143843,22.66299886014401,56.61,234.619968823377,solar_like,False,False,False
3084031095444397312,2.5466289079415922,0.7466799010873048,-0.389,0.77729416,4.814975217339292,1.5991427319890363,-23.59,261.5180574824021,solar_like,False,False,False
