source_id,ra_gaia,dec_gaia,parallax,parallax_over_error,pmra,pmdec,phot_g_mean_mag,bp_rp,ruwe,distance_pc,absolute_g_mag,obsid,designation,gaia_source_id,ra_lamost,dec_lamost,snrg,class,subclass,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err,id_match_sep_arcsec,pm_total,tangential_velocity_kms,reduced_pm_g,metallicity_group,high_vtan_candidate,metal_poor_candidate,chemo_kinematic_candidate
3084445095932542080,121.28222828799868,0.5121500147118064,4.631884144655979,188.20757,-15.15314468938655,7.702148483299611,11.034749,0.794672,1.3064831,215.89486454529452,4.363537471229144,122401162,J080507.74+003043.5,3084445095932542080,121.28228,0.512107,137.78,STAR,G3,5803.46,33.1,4.258,0.044,0.126,0.025,34.19,5.32,0.2421433666676142,16.998261241558748,17.396753664648674,7.186771497533572,solar_like,False,False,False
3084578720955039744,121.98914620543628,0.9082647806035646,0.5336973514426925,17.030481,-2.4698172638586096,-4.16028299762348,15.088555,1.0450163,1.0166372,1873.72112171214,3.725030573768787,869908188,J080757.39+005429.8,3084578720955039744,121.989136,0.908298,64.26,STAR,K1,5302.44,25.63,4.46,0.036,0.376,0.022,4.91,3.42,0.1251046906931998,4.8381765095094496,42.974226002875355,8.511963542646473,metal_rich,False,False,False
3084637098150125952,120.98828850735052,1.1862617951534729,0.7758179761022466,32.108326,-5.1448027215094,-2.8410266611621013,14.425479,0.81462955,0.9946113,1288.9621416405644,3.8742781262793784,869905029,J080357.18+011110.7,3084637098150125952,120.988291,1.186308,118.55,STAR,G2,5875.14,31.16,4.197,0.042,0.01,0.024,35.19,4.74,0.1665792193306182,5.87711047477282,35.910827991274274,8.271298272130172,solar_like,False,False,False
3084669224505393280,121.51614476199865,1.4501763091964646,1.6849378692736423,98.57206,4.752069755886471,-2.8205324804605336,12.842078,0.82282734,1.0246574,593.4936938838515,3.974997665140849,122505113,J080603.86+012700.7,3084669224505393280,121.51612,1.4502043,78.64,STAR,G4,5802.57,30.05,4.479,0.042,0.003,0.025,-7.17,4.05,0.1345190924826844,5.52608092938782,15.547291885977954,6.554164204322285,solar_like,False,False,False
3083675540871959552,121.93975278372037,0.2752292156085715,2.397850464786725,169.14507,-13.858935290958362,-15.213946335179845,10.664133,1.0707293,1.0629624,417.0401844007166,2.5632435521545425,173001111,J080745.54+001630.6,3083675540871959552,121.93978,0.2751804,100.95,STAR,G5,5119.94,27.59,3.534,0.038,0.0,0.022,-14.13,3.96,0.2012033664694178,20.579947776627215,40.6858669751724,7.231354341842614,solar_like,False,False,False
3083788996726759936,121.79659445861648,0.556744506168466,2.883714186669777,201.82233,-18.882897103568045,-6.6077448142912445,12.1712885,0.7617092,0.9823347,346.77500447949666,4.4710495602285025,122501129,J080711.18+003324.3,3083788996726759936,121.79661,0.5567699,95.05,STAR,G3,5986.81,32.94,4.383,0.046,0.026,0.027,35.84,4.63,0.1071783833062738,20.005651565363507,32.88682058521868,8.677052002552552,solar_like,False,False,False
3084473992471536384,120.6100118339368,0.359670485552188,2.71118513347428,190.81493,-0.9652380812025212,-25.90217790948389,12.78288,0.8769121,0.9277105,368.8423883906955,4.9486757015236424,122402021,J080226.40+002134.9,3084473992471536384,120.61001,0.3597127,54.28,STAR,G3,5536.62,30.18,4.399,0.043,-0.172,0.026,50.33,4.06,0.1521153491029453,25.920156346132615,45.321037666171215,9.85106808399777,solar_like,False,False,False
3084473992471536384,120.6100118339368,0.359670485552188,2.71118513347428,190.81493,-0.9652380812025212,-25.90217790948389,12.78288,0.8769121,0.9277105,368.8423883906955,4.9486757015236424,173002021,J080226.40+002134.9,3084473992471536384,120.61001,0.3597127,55.47,STAR,G5,5500.2,26.35,4.411,0.038,-0.231,0.023,51.59,3.54,0.1521153491029453,25.920156346132615,45.321037666171215,9.85106808399777,solar_like,False,False,False
3084531197138485504,120.69723453303,0.8949310480809898,1.1058424992900595,40.767235,-6.242201615583287,5.086598957182614,14.612107,0.77954865,0.99743557,904.2879077644336,4.83057365967997,869905215,J080247.34+005341.6,3084531197138485504,120.6972597,0.8949083,88.92,STAR,G2,5865.51,25.49,4.395,0.036,-0.441,0.021,37.3,3.51,0.1221189334001505,8.05224005856767,34.51793764025524,9.141690569382378,solar_like,False,False,False
3084450490410772224,121.51374513306016,0.6086861776986238,1.1234940419066328,55.431297,-2.5816087237056378,-15.64927309571067,14.237892,0.8298893,0.9242467,890.0803766639862,4.4907460189718105,869901138,J080603.29+003631.4,3084450490410772224,121.513745,0.608737,105.57,STAR,F9,5648.39,34.75,4.237,0.048,-0.085,0.028,6.05,5.07,0.1829609119500877,15.860783461936768,66.92297900415194,10.239515179974816,solar_like,False,False,False
3084631428793213440,121.44863592379312,1.321457289054309,1.450325803744685,64.214874,-6.041591854297457,-0.1763744700392809,14.51365,0.93062496,1.0839833,689.5002470603771,5.3209778098535025,869905105,J080547.66+011917.3,3084631428793213440,121.448614,1.321495,113.18,STAR,G5,5544.17,35.31,4.673,0.048,0.045,0.028,18.88,5.28,0.1570240805431859,6.044165789221456,19.755689738713745,8.42033184183307,solar_like,False,False,False
3084670598894917632,121.53860734908474,1.5173972699590978,0.700027978150594,27.456274,-6.4728586374338715,0.2354260507428218,14.565942,0.7527733,1.0422586,1428.5143325869674,3.791518800062036,869905117,J080609.27+013102.6,3084670598894917632,121.5386569,1.5173894,122.11,STAR,G0,5931.91,24.44,4.171,0.033,-0.326,0.019,48.36,3.76,0.1805574169097439,6.477138593975787,43.86207715826328,8.62285794964722,solar_like,False,False,False
