embedding,eps,min_samples,cluster_label,n_stars,candidate_count,candidate_fraction,metal_poor_fraction,high_vtan_fraction,mean_feh,median_feh,mean_galcen_vtot_kms,median_galcen_vtot_kms
pca,0.25,8,-1,98,24,0.24489795918367346,0.41836734693877553,0.35714285714285715,-0.5344387755102041,-0.4445,190.95201654034406,183.56955863499954
pca,0.25,8,1,8,1,0.125,0.5,0.125,-0.418,-0.495,205.09295139045966,200.81111435329865
pca,0.25,8,0,1732,2,0.0011547344110854503,0.059468822170900694,0.0011547344110854503,-0.13293706697459584,-0.123,229.5051413112909,230.59954722753395
umap,0.25,8,0,1837,27,0.014697876973326075,0.08056614044637997,0.020685900925421885,-0.15544420250408278,-0.133,227.3445374224244,229.7330581350512
umap,0.25,8,-1,1,0,0.0,0.0,0.0,-0.415,-0.415,225.03073823953596,225.03073823953596
