source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,bp_rp,absolute_g_mag,feh,tangential_velocity_kms,galcen_vx,galcen_vy,galcen_vz,galcen_vtot,has_astrometric_6d_input,has_galcen_velocity_input,orbit_input_ready,has_positive_parallax,has_distance_or_parallax_input,can_compute_galcen_position,can_compute_angular_momentum,missing_orbital_position_input,galcen_vx_kms,galcen_vy_kms,galcen_vz_kms,galcen_vtot_recomputed_kms,galcen_vtot_delta_kms,distance_kpc_used,galcen_x_kpc,galcen_y_kpc,galcen_z_kpc,galcen_radius_kpc,galcen_cyl_radius_kpc,galcen_abs_z_kpc,Lx_kpc_kms,Ly_kpc_kms,Lz_kpc_kms,Lperp_kpc_kms,Ltot_kpc_kms,Lperp_over_Ltot,Lz_over_Ltot,abs_Lz_over_Ltot,retrograde_flag,disk_like_orbit_flag,halo_like_orbit_flag,high_galcen_velocity_flag,high_tangential_velocity_flag,metal_poor_flag,ra_gaia,dec_gaia,parallax_recovered,parallax_over_error,pmra_recovered,pmdec_recovered,distance_pc,ra_lamost,dec_lamost,rv,parallax_mas_recovered,parallax_error_mas_recovered,distance_existing_recovered,distance_pc_from_parallax,distance_kpc_from_parallax,parallax_snr_recovered,distance_recovery_source,distance_quality_flag,angular_momentum_ready_basic,distance_for_l_kpc,rotation_class,inclination_proxy_class
3077457042404665088,,,,,,,1.252923,1.686704280937569,-0.599,111.01579774936911,,,,,False,False,False,False,False,False,False,True,-236.399924646039,92.1883366443852,5.765433519245572,,,,-9.326243267464232,-1.1225244498685634,0.5840875700971482,,,,-60.31790163136175,-84.30842201477725,-1125.1355493306885,103.66368351468324,1129.9009530253095,,,,False,False,False,False,False,False,124.06184711194852,0.009937855877982,0.5747107433112048,23.36806,-13.446595124808283,0.5776509009848404,1740.0057535700214,124.0619128,0.0099314,270.86,,,1740.0057535700214,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False,1.7400057535700213,retrograde,low_Lperp
3089847099636770560,,,,,,,0.61881924,3.7260768126281487,-2.213,413.70646747833314,,,,,False,False,False,False,False,False,False,True,-14.84171740415759,102.3679361105482,-379.512540328707,,,,-9.24718230807746,-0.9790886203405346,0.5092463321090953,,,,319.44591352249034,-3516.9797387714198,-961.1463243325857,3531.4575141993287,3659.9172711105016,,,,False,False,False,False,True,True,122.50835506539042,1.2800943330610466,0.637150856719755,26.753075,-42.072760482673594,-36.356421286612786,1569.4870209361436,122.50854,1.280247,-11.29,,,1569.4870209361436,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False,1.5694870209361436,retrograde,high_Lperp
3089944573918027648,,,,,,,0.98452854,1.5680617678260056,-1.472,426.6861088882448,,,,,False,False,False,False,False,False,False,True,-153.72602730906922,-277.1578167790695,-164.44716029247513,,,,-9.294675435780425,-1.032956741627243,0.5772182121211719,,,,329.8473423421899,-1617.2164438941459,2417.299615178472,1650.511525452589,2927.033605067393,,,,False,False,False,False,True,True,123.9549662915235,1.686693010449564,0.6028220374995823,32.416683,-18.7729862859093,-50.908488706819575,1658.8643708976765,123.95502,1.6867748,385.54,,,1658.8643708976765,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False,1.6588643708976765,prograde,high_Lperp
3089534353001157632,,,,,,,1.041462,0.871324141703834,-1.539,376.1169517856083,,,,,False,False,False,False,False,False,False,True,236.8281648442489,-14.810854296614448,-151.52405092085374,,,,-9.641485783675568,-1.3861261588912324,0.7426723141480404,,,,221.03106211753857,-1285.0312615980324,471.07235559771675,1303.9018650592682,1386.3871169025697,,,,False,False,False,False,True,True,124.17699360479357,0.7374494221361896,0.4587656346030645,25.166069,2.906363530788064,-36.28302820325773,2179.7622240498135,124.176981,0.737614,-43.26,,,2179.7622240498135,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False,2.1797622240498136,low_Lz_or_radial,moderate_Lperp
3084095863550902528,,,,,,,0.7284956,2.7744137093995,-1.723,357.80594331790144,,,,,False,False,False,False,False,False,False,True,239.57638497532017,-31.371491885549133,4.396379458945979,,,,-10.278081172462155,-1.871301913479643,0.8292081399760887,,,,17.78654314078295,243.8450335115726,770.758487729764,244.49286591873985,808.6070788044289,,,,False,False,False,False,True,True,120.43054976939275,0.2408081686870832,0.3370215168882273,11.0914955,11.675831487154664,-22.6002041494757,2967.169601612257,120.430517,0.24084,9.04,,,2967.169601612257,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False,2.967169601612257,prograde,low_Lperp
3083736976083264768,,,,,,,0.7034807,3.5901416287102172,-0.583,242.02317493801328,,,,,False,False,False,False,False,False,False,True,122.03603927371384,67.66040098305142,-114.71623992446473,,,,-10.471084382558274,-2.1116046607684575,1.0443028965955192,,,,171.5773941589174,-1073.7608389962868,-450.78589873916354,1087.382702432025,1177.1189693698975,,,,False,False,False,False,True,False,122.7700142467626,0.4222352047121412,0.3011726474828033,5.7011924,-0.9141858546706444,-15.349072682740813,3320.3546482656566,122.7700125,0.4223,-1.81,,,3320.3546482656566,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False,3.3203546482656567,low_Lz_or_radial,moderate_Lperp
3089512263986192512,,,,,,,0.7241869,3.5162932136697265,-1.317,182.00727141982713,,,,,False,False,False,False,False,False,False,True,125.73212124032035,108.8714673028971,55.75514138579833,,,,-9.523219455574143,-1.285688313532734,0.6805450598594316,,,,-145.77567293172046,616.534821169269,-875.1545566614932,633.5343183545139,1080.3986442875116,,,,False,False,False,False,False,True,124.07066122778818,0.500878992329893,0.4967967606175291,16.920572,12.80717803249535,-14.135094408004887,2012.895572742822,124.070646,0.500901,24.51,,,2012.895572742822,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False,2.012895572742822,retrograde,low_Lperp
3089611597989508224,,,,,,,1.1408968,0.5763504189900424,-0.833,106.91773199721707,,,,,False,False,False,False,False,False,False,True,35.36321674916414,161.61644960705954,-56.587594390961684,,,,-11.212873983079184,-2.8366414346751356,1.5077953076129695,,,,-83.16580941260011,-581.1890726349618,-1711.872117142549,587.1092658147543,1809.7523132892118,,,,False,False,False,False,False,False,124.41014575196904,0.6801603216710814,0.2246688672654835,11.330799,-1.3230676252381404,-4.891460363901467,4450.994978393399,124.410154,0.680182,16.42,,,4450.994978393399,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False,4.450994978393399,retrograde,low_Lperp
3084599680395408128,,,,,,,1.4542809,-0.9936494160586236,-0.8,233.39930902514337,,,,,False,False,False,False,False,False,False,True,160.16623290369782,66.76755204151463,-20.840103255509955,,,,-11.76262313328812,-3.1419579041506873,1.5367679017595228,,,,-37.1275037094922,1.004045018768295,-282.1259907467252,37.141077503191404,284.5602472112353,,,,False,False,False,False,True,False,121.84354929076224,1.1745968561269535,0.1983237559324356,13.023615,3.518032173220818,-9.10879684124338,5042.2602945291,121.84354,1.1746241,-3.5,,,5042.2602945291,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False,5.0422602945291,low_Lz_or_radial,low_Lperp
3084590884302328704,,,,,,,0.6961956,4.105675472050972,-1.311,178.22526728386543,,,,,False,False,False,False,False,False,False,True,-146.62958273109243,-66.90546061249644,-14.17637336567676,,,,-9.22732473725293,-0.9598842593150166,0.49132452169771856,,,,46.47997108228613,-202.8527102437328,476.6109833534854,208.10960997762206,520.0650336431149,,,,False,False,False,False,False,True,122.20570317994792,1.178609486703606,0.6503148300423307,23.938126,-6.016034996652612,-23.69788249583368,1537.7167393443992,122.205693,1.178739,303.03,,,1537.7167393443992,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False,1.5377167393443991,low_Lz_or_radial,low_Lperp
3089780884124744832,,,,,,,0.7723322,5.025141004939055,-1.369,233.55985494766577,,,,,False,False,False,False,False,False,False,True,126.05107803593629,43.17975506892053,84.18852958011466,,,,-9.158464359789683,-0.9176229650602798,0.4846189656945936,,,,-98.17905637781604,832.1243907250436,-279.792883886776,837.8962517822617,883.3765825651268,,,,False,False,False,False,True,True,123.07439043623374,1.0555957142935917,0.6849518283795022,14.305473,22.79530693320961,-24.884586712911133,1459.956683911417,123.0742998,1.0557062,71.17,,,1459.956683911417,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False,1.459956683911417,low_Lz_or_radial,moderate_Lperp
