source_id,umap_1,umap_2,feh,bp_rp,absolute_g_mag,tangential_velocity_kms,rv,galcen_vtot_kms,metallicity_group,high_vtan_candidate,metal_poor_candidate,chemo_kinematic_candidate,umap_dbscan_label
3083773775362845696,1.4943595,10.02723,-0.525,1.1348133,1.55018112993368,41.829487764689695,58.04,230.06249390702467,metal_poor,False,True,False,0
3084032572913134336,2.5630457,8.595301,-0.171,1.2485752,0.6903304940403316,48.62091007864295,68.89,189.84940732821383,solar_like,False,False,False,0
3089551223633510656,7.100749,6.134812,0.079,0.5578432,2.967268110854805,14.668578608039228,35.01,216.5787934451038,solar_like,False,False,False,0
3089877989041449856,7.8828773,8.091683,-0.179,0.72771454,4.001960715322189,38.783134396382664,45.73,233.5014428576083,solar_like,False,False,False,0
3089966568446881664,10.609049,5.3978515,-0.078,0.59287167,3.2534416960363295,20.433883343079376,-31.88,253.93393351720803,solar_like,False,False,False,0
3077503466706783232,8.1787405,4.290145,0.185,0.8749695,4.7443333079382555,16.51930892228723,4.02,231.35757188688768,solar_like,False,False,False,0
3089728313724899072,2.7442238,8.036768,0.033,1.0847979,3.3476775230082616,24.124868651625953,76.75,196.96640455131976,solar_like,False,False,False,0
3084566763765947776,6.8099613,4.007464,0.099,1.0314007,5.744724368416893,13.6507733899017,42.05,215.77478391090585,solar_like,False,False,False,0
3084671904564992128,9.344139,4.888582,-0.591,0.679471,3.46582993933199,51.94914275197037,-15.47,228.65435224371907,metal_poor,False,True,False,0
3084865006294944000,4.828562,7.719785,-0.358,0.81475353,4.024926646763001,50.09840624346825,83.97,160.8615081091808,solar_like,False,False,False,0
3083516901957915264,7.607455,3.5220687,-0.365,0.99777985,5.719783548538411,36.73712688282647,24.92,205.60957961538415,solar_like,False,False,False,0
3084884866223475968,2.198958,8.210185,-0.02,1.1705103,2.406026548772374,20.757814480618137,67.9,209.8117386532656,solar_like,False,False,False,0
3084576865528942592,9.938351,7.9186068,-0.472,0.6757822,3.5049919215093475,56.7089486120048,3.27,238.44821714578256,solar_like,False,False,False,0
3089931860814342272,9.950482,6.299045,-0.17,0.5882435,2.805265383947088,9.250604092640472,2.69,237.98000345520947,solar_like,False,False,False,0
3089668738234247168,10.961468,5.924862,-0.448,0.7677374,3.545939399585741,38.68178889150782,-25.7,252.6084033804969,solar_like,False,False,False,0
3084609747798706048,8.098574,3.6833277,-0.023,1.0576429,5.83811361885866,15.186559771616244,15.81,236.13681135480635,solar_like,False,False,False,0
3089981136976202368,8.086217,6.8445206,-0.273,0.70098305,3.831452638567931,43.205648467893155,-4.13,222.59021348856623,solar_like,False,False,False,0
3083545935936759424,7.1636887,3.1553328,-0.099,1.1883564,6.2826230072912175,26.803649706089335,49.28,203.4781593389496,solar_like,False,False,False,0
3089809235206192000,6.6381297,8.705737,-0.256,0.67857456,3.1289980222494584,19.65825304944233,55.06,230.9138027369696,solar_like,False,False,False,0
3084841572953204864,10.714194,6.2680006,-0.808,0.8339062,3.7316318691087105,23.732022840843804,-16.04,244.5693389039665,metal_poor,False,True,False,0
3084933725771412096,2.325424,8.074632,-0.142,1.0708818,1.8315295459513263,43.030471618537455,41.1,201.83083705429144,solar_like,False,False,False,0
3083693820252494464,1.1615995,9.6207485,-0.504,1.096468,0.2967049625669204,10.700158759651025,50.33,225.3566698211112,metal_poor,False,True,False,0
3089847374514674176,8.793918,4.759404,-0.471,1.0098372,3.6764364576119135,132.75631405178612,-51.77,229.1313556608719,solar_like,True,False,False,0
3089630014809166080,7.6704216,4.851019,0.134,0.98568916,3.363550422579616,26.828826587079508,14.95,219.21790998556676,solar_like,False,False,False,0
3089602733177106304,10.433436,5.219634,-0.377,0.8063803,3.369680332285327,39.43210792434869,-25.43,240.70122704372884,solar_like,False,False,False,0
3083502470867841536,9.292069,6.5995426,-0.01,0.58709145,2.8537636941172657,19.94076572172094,7.06,240.93124178934775,solar_like,False,False,False,0
3083722476273524992,2.379774,8.571893,-0.216,1.2814264,0.5433213681597984,41.33523488156889,58.8,192.16268314715967,solar_like,False,False,False,0
3084702175494547584,8.7052765,9.093469,-0.465,0.7145157,4.020769930157957,39.796512069563704,66.7,242.4984582939892,solar_like,False,False,False,0
3090611844334700928,5.6422715,5.891452,0.198,0.8789978,4.719631592522106,31.71607926540164,53.26,190.6277479068326,solar_like,False,False,False,0
3083484947401438336,5.395471,6.705761,0.238,0.85845184,3.846250689094157,56.55993955117583,59.9,173.31642002616476,metal_rich,False,False,False,0
3083813495220545920,9.897961,4.6935973,-0.022,0.80091286,3.853404924540584,32.044233598651154,-14.47,277.8944411461268,solar_like,False,False,False,0
3084703137567209344,6.9096446,5.4301405,-0.047,0.7545948,4.311092650708492,9.60908559503014,37.09,217.61364685230816,solar_like,False,False,False,0
3083788996726759936,6.971264,6.6687946,0.026,0.7617092,4.4710495602285025,32.88682058521868,35.84,222.1636860173851,solar_like,False,False,False,0
3084406544306121472,0.28809476,9.326072,-0.423,1.2273302,0.7534685580997795,37.2277090399378,-4.43,267.88211390432696,solar_like,False,False,False,0
3089735494910220800,6.4856663,4.73978,0.317,0.81403446,4.36405853414105,13.346899202524526,35.97,223.05992162384348,metal_rich,False,False,False,0
3084486499416235904,10.445287,4.7330127,0.26,1.0127869,3.4256384386740244,45.764104405980056,-33.04,240.1991838679047,metal_rich,False,False,False,0
3089677740485660672,8.406674,5.6969337,-0.208,0.8790798,3.046418779836049,22.087738875403616,14.88,220.622112528036,solar_like,False,False,False,0
3084917542334552704,9.159389,5.03894,-0.033,0.70688915,3.3188287004570096,50.81065466788896,-20.34,225.18474200751248,solar_like,False,False,False,0
3083756144519297280,10.771865,6.783596,-0.483,0.7183714,2.5370885881199747,22.366481851032237,-12.66,257.1080326663971,solar_like,False,False,False,0
3084464337385134208,7.577497,2.8062284,-0.381,1.3221121,6.835749553864945,40.34996614435635,36.39,252.78891386722017,solar_like,False,False,False,0
3077499614120466176,6.784599,5.6860275,0.2,0.6569004,3.559756407206846,22.12014544346738,36.19,219.90973720540256,solar_like,False,False,False,0
3084734508008392960,7.848306,2.661885,-0.248,1.3359919,6.778967354041056,13.560385832317966,10.31,229.4470002232406,solar_like,False,False,False,0
3084037623794412800,9.42587,3.671453,0.077,1.0735073,5.887498354517293,15.238600197890444,-21.06,254.0676060293083,solar_like,False,False,False,0
3083836000848898560,8.063497,9.576017,0.198,0.660738,2.250573481460691,81.11644441332011,92.8,244.50290893003952,solar_like,False,False,False,0
3084500208951826176,8.277975,8.287937,-0.55,0.8278713,4.600733212834486,28.373326782128498,28.81,233.04406586115448,metal_poor,False,True,False,0
3089612933722824832,8.825955,9.333924,-0.271,0.6759033,3.579230004353292,52.1449234131281,62.65,250.74830654697968,solar_like,False,False,False,0
3089699318401323520,10.871569,6.686702,-0.403,0.69484997,2.8605022434225376,34.243695561072094,-23.02,279.55096965333064,solar_like,False,False,False,0
3077501370762731392,6.4070497,4.751923,0.311,0.8546982,4.600798918792112,8.729892362965217,43.66,215.49529111090104,metal_rich,False,False,False,0
3089790612227379712,9.10134,4.7701287,-0.337,0.7429161,4.217164930268305,67.95154106009784,-24.41,231.3367940778754,solar_like,False,False,False,0
3084727700481954176,0.3948154,8.237771,-0.118,1.2207165,1.108443573673476,19.948082570414417,7.41,228.97916952484923,solar_like,False,False,False,0
3090739112804865408,0.5263079,8.959635,-0.083,1.0378656,2.3947458310147347,42.35682232597118,21.23,241.60988690785476,solar_like,False,False,False,0
3084616928983921792,7.74109,5.0722604,0.247,0.76054955,3.438682517562775,38.67219079244407,9.67,211.38980393878924,metal_rich,False,False,False,0
