source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,bp_rp,absolute_g_mag,feh,tangential_velocity_kms,galcen_vx,galcen_vy,galcen_vz,galcen_vtot,has_astrometric_6d_input,has_galcen_velocity_input,orbit_input_ready,has_positive_parallax,has_distance_or_parallax_input,can_compute_galcen_position,can_compute_angular_momentum,missing_orbital_position_input,galcen_vx_kms,galcen_vy_kms,galcen_vz_kms,galcen_vtot_recomputed_kms,galcen_vtot_delta_kms,distance_kpc_used,galcen_x_kpc,galcen_y_kpc,galcen_z_kpc,galcen_radius_kpc,galcen_cyl_radius_kpc,galcen_abs_z_kpc,Lx_kpc_kms,Ly_kpc_kms,Lz_kpc_kms,Lperp_kpc_kms,Ltot_kpc_kms,Lperp_over_Ltot,Lz_over_Ltot,abs_Lz_over_Ltot,retrograde_flag,disk_like_orbit_flag,halo_like_orbit_flag,high_galcen_velocity_flag,high_tangential_velocity_flag,metal_poor_flag,ra_gaia,dec_gaia,parallax_recovered,parallax_over_error,pmra_recovered,pmdec_recovered,distance_pc,ra_lamost,dec_lamost,rv,parallax_mas_recovered,parallax_error_mas_recovered,distance_existing_recovered,distance_pc_from_parallax,distance_kpc_from_parallax,parallax_snr_recovered,distance_recovery_source,distance_quality_flag,angular_momentum_ready_basic
3084565217577674368,,,,,,,1.2135992,-1.4997642961381883,-1.679,303.912485613191,,,,,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,False,False,False,False,True,True,121.57006326975224,0.9383056605305586,0.0991838396102343,5.9246345,1.611015500144466,-6.151230999532256,10082.287638084284,121.57003,0.9383268,90.96,,,10082.287638084284,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False
3083753361380495744,,,,,,,1.1461058,1.396180705066989,-0.915,114.30465630354097,,,,,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,122.45572218802852,0.527457007007076,0.5929720268090156,41.15183,-8.172452047101803,-11.7322282938667,1686.420193177308,122.45574,0.5274575,125.61,,,1686.420193177308,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False
3084867926872687616,,,,,,,0.7957039,5.192801250098601,-1.026,197.4135264999453,,,,,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,True,121.26099832763292,1.7017067199863374,0.5114492659025884,8.305679,7.804145017574409,-19.81767694209903,1955.2281461099249,121.260997,1.701758,31.26,,,1955.2281461099249,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False
3083483057615799424,,,,,,,0.8043566,4.434458939261894,-0.768,125.46984691485817,,,,,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,123.48451699623334,0.1514810006879749,0.6822545804824325,20.189425,-4.251526572531132,-17.55015790592705,1465.7285251099156,123.484529,0.151546,68.65,,,1465.7285251099156,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False
3084618814470882048,,,,,,,1.1711559,2.7299872231075355,-0.951,165.1111465791632,,,,,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,121.20677617930394,1.0369173800748273,0.2391748613448044,6.3445244,-4.0660197805319065,-7.270800406940968,4181.04141203351,121.2067683,1.0369189,127.33,,,4181.04141203351,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False
3084926441506740992,,,,,,,1.0605354,1.6585725398621136,-0.883,211.0733302063489,,,,,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,False,False,False,False,True,False,120.4718353514867,1.8886037429264213,0.2440201456359417,10.198736,6.4069286664489855,-8.775180389695203,4098.022306289084,120.471808,1.888624,83.7,,,4098.022306289084,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False
3083553117121981312,,,,,,,1.5499325,-2.4386732195933583,-1.116,237.53839609846912,,,,,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,False,False,False,False,True,True,123.11310411709076,0.459705490293688,0.075794530810793,5.3698406,0.4598996631191318,-3.7700113788522622,13193.56409100696,123.113099,0.459721,91.38,,,13193.56409100696,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False
3084642080312126464,,,,,,,1.5068645,-2.0334487474787295,-1.196,197.8020857182221,,,,,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,True,121.3155613883067,1.2930361312627994,0.0920394646932119,6.6361217,0.308022504251155,-3.828090343120499,10864.90456385446,121.31558,1.2930493,79.89,,,10864.90456385446,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False
3089545558572418048,,,,,,,1.1009932,-0.4731725700591056,-2.108,223.00802331737148,,,,,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,False,False,False,False,True,True,123.22780573377474,0.4471591568310297,0.1717114709662202,12.168439,1.6939647876471686,-7.8982864103675565,5823.722750571067,123.227801,0.4472,101.42,,,5823.722750571067,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False
3089726600033614976,,,,,,,0.73424435,3.6783047950118934,-0.796,141.12667198580328,,,,,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,124.626788822155,1.4771229258987624,1.594646411365487,105.5349,0.5954628030411431,-47.4698578967624,627.0982663446409,124.62679,1.4772242,214.26,,,627.0982663446409,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False
3084491481578346240,,,,,,,1.3136959,0.001726040787414,-0.534,207.96725977413317,,,,,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,False,False,False,False,True,False,120.47759045444464,0.5234137321220286,0.1506745525030554,8.162756,0.5753516616463092,-6.5850959470253,6636.820772902057,120.477563,0.523411,142.04,,,6636.820772902057,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False
3089857819875340672,,,,,,,0.7660074,3.6638164329105134,-1.107,178.78522177121664,,,,,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,True,122.96694116081986,1.266978850948126,0.8618382292701355,41.10876,7.2084668023651695,-31.694541118949957,1160.3105618172328,122.96693,1.2670324,188.65,,,1160.3105618172328,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False
3083697290586071680,,,,,,,0.87890816,5.467807754270964,-0.684,122.43481290580814,,,,,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,121.61415454666972,0.4918727474028133,2.92552542771313,188.21082,-75.34227269083829,-5.721524977237781,341.81893977988614,121.61425,0.4918882,47.91,,,341.81893977988614,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False
3084618646970633984,,,,,,,1.1003723,-0.4209198457835654,-0.68,105.88440716427388,,,,,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,121.170175117863,1.0046261556532656,0.1542206397138047,9.62641,-2.365713100218595,2.5038875033144503,6484.216391889906,121.17016,1.0046368,98.29,,,6484.216391889906,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False
3077610566011025408,,,,,,,1.1750326,-0.1937580093862614,-0.543,100.31645268932128,,,,,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,124.84914434820188,0.7844510424136527,0.1609512010375164,8.252119,-2.32892881855095,2.485346020700722,6213.063298402526,124.84916,0.7844489,93.57,,,6213.063298402526,,,,gaia_lamost_larger_velocity_features.csv,missing_parallax,False
